,Cday,CT,bin_ct,data_ct,both_mid_ct,both_midsep_ct
804,4,8,5,0.0,0.0,0.0
805,4,8,6,0.0,0.0,0.0
806,4,8,7,0.0,0.0,0.0
807,4,8,8,0.0,0.0,0.0
808,4,8,9,0.0,0.0,0.0
809,4,8,10,0.0,0.0,0.0
810,4,9,1,0.0,0.0,0.0
811,4,9,2,31.999999999905413,63.999999999810825,0.0
812,4,9,3,96.00000000001455,181.99999999976717,5.000000000130967
813,4,9,4,32.500000000043656,65.00000000008731,0.0
814,4,9,5,1.0000000000691216,2.000000000138243,0.0
815,4,9,6,0.0,0.0,0.0
816,4,9,7,28.50000000007276,57.00000000014552,0.0
817,4,9,8,0.0,0.0,0.0
818,4,9,9,20.000000000010914,40.00000000002183,0.0
819,4,9,10,0.0,0.0,0.0
820,4,10,1,0.0,0.0,0.0
821,4,10,2,8.999999999989086,5.999999999992724,5.999999999992724
822,4,10,3,0.0,0.0,0.0
823,4,10,4,0.0,0.0,0.0
824,4,10,5,0.0,0.0,0.0
825,4,10,6,0.0,0.0,0.0
826,4,10,7,106.50000000000364,213.00000000000728,0.0
827,4,10,8,0.0,0.0,0.0
828,4,10,9,0.0,0.0,0.0
829,4,10,10,0.0,0.0,0.0
830,4,11,1,0.0,0.0,0.0
831,4,11,2,0.0,0.0,0.0
832,4,11,3,0.0,0.0,0.0
833,4,11,4,0.0,0.0,0.0
834,4,11,5,0.0,0.0,0.0
835,4,11,6,0.0,0.0,0.0
836,4,11,7,0.0,0.0,0.0
837,4,11,8,0.0,0.0,0.0
838,4,11,9,0.0,0.0,0.0
839,4,11,10,0.0,0.0,0.0
840,4,12,1,0.0,0.0,0.0
841,4,12,2,0.0,0.0,0.0
842,4,12,3,0.0,0.0,0.0
843,4,12,4,8.49999999998181,16.99999999996362,0.0
844,4,12,5,28.00000000001819,56.00000000003638,0.0
845,4,12,6,7.499999999992724,3.0,5.999999999992724
846,4,12,7,35.000000000007276,70.00000000001455,0.0
847,4,12,8,37.00000000003638,74.00000000007276,0.0
848,4,12,9,1.499999999996362,2.999999999992724,0.0
849,4,12,10,22.000000000029104,41.99999999992724,1.0000000000654836
850,4,13,1,179.0,358.0,0.0
851,4,13,2,42.999999999952706,85.99999999990541,0.0
852,4,13,3,133.00000000001455,266.0000000000291,0.0
853,4,13,4,0.0,0.0,0.0
854,4,13,5,0.0,0.0,0.0
855,4,13,6,22.000000000047294,44.00000000009459,0.0
856,4,13,7,88.99999999995634,177.9999999999127,0.0
857,4,13,8,0.0,0.0,0.0
858,4,13,9,0.0,0.0,0.0
859,4,13,10,0.0,0.0,0.0
860,4,14,1,0.0,0.0,0.0
861,4,14,2,0.0,0.0,0.0
862,4,14,3,0.0,0.0,0.0
863,4,14,4,0.0,0.0,0.0
864,4,14,5,0.0,0.0,0.0
865,4,14,6,0.0,0.0,0.0
866,4,14,7,0.0,0.0,0.0
867,4,14,8,0.0,0.0,0.0
868,4,14,9,0.0,0.0,0.0
869,4,14,10,0.0,0.0,0.0
870,4,15,1,0.0,0.0,0.0
871,4,15,2,0.0,0.0,0.0
872,4,15,3,0.0,0.0,0.0
873,4,15,4,0.0,0.0,0.0
874,4,15,5,0.0,0.0,0.0
875,4,15,6,0.0,0.0,0.0
